identificador; lado_a_area; lado_a_altura; lado_a_largura; lado_b_area; lado_b_altura; lado_b_largura; volume; classificacao;peso
J29;24281;104;75;18942;78;77;2518770;4;72.11
J30;23184;98;75;19434;79;78;2269010;4;70.23
J31;24569;103;76;19915;80;79;2525020;4;74.33
J32;23759;100;76;19413;79;78;2366710;4;71.74
J33;24015;100;76;19819;80;79;2399540;4;72.49
J34;24189;103;75;19131;78;78;2490380;4;72.61
J35;23361;99;75;19308;79;78;2318190;4;70.25
J36;24333;100;77;20313;81;80;2428700;4;75.32
J37;23484;103;73;18654;78;76;2405280;4;70.19
J38;24523;103;76;19608;80;78;2514550;4;73.44
J39;24573;104;76;19950;81;78;2546310;4;73.56
J40;24120;100;77;20074;80;80;2418000;4;73.53
J41;22879;97;75;19103;79;77;2213830;4;69.55
J42;24735;105;75;19461;79;79;2585650;4;74.59
J43;23735;100;75;19150;78;78;2382370;4;71.48
J44;24761;107;74;18846;78;77;2655800;4;73.11
J45;23363;99;75;18791;78;77;2322570;4;70.02
J46;23767;100;76;19210;78;78;2387730;4;72.17
J47;24119;100;77;20189;81;80;2409000;4;73.88
J48;23962;100;76;19660;79;79;2397040;4;72.79
J49;24015;102;75;19155;79;77;2450340;4;71.88
J50;24003;104;74;18803;78;76;2487760;4;71.92
J51;23677;99;76;19442;79;78;2334810;4;71.62
J52;23724;98;77;19803;80;79;2341160;4;72.51
J53;23711;99;76;19970;81;79;2338230;4;72.36
J54;23395;98;76;19434;79;79;2280800;4;71
J55;23039;99;74;18514;77;77;2274300;4;69.33
J56;24270;105;74;18597;77;77;2543490;4;71.57
J57;24686;103;76;20094;80;80;2550810;4;74.6
J58;23048;97;76;19431;79;78;2223590;4;70.67
J59;23498;99;76;19156;79;78;2323940;4;71.66
J60;26592;110;77;20767;81;81;2918960;4;80.76
J61;23336;98;76;19507;79;78;2284550;4;71.65
J62;23441;99;75;19128;78;78;2325240;4;70.85
J63;25027;104;77;20117;81;79;2602820;4;75.5
J64;24071;100;77;20105;80;80;2401940;4;73.4
J65;24814;102;78;20693;82;80;2521030;4;76.25
J66;23901;101;76;19340;79;78;2407780;4;72.22
J67;26457;106;79;22193;84;84;2792180;4;81.67
J68;23566;98;76;19648;80;79;2317180;4;71.97
J69;23649;103;73;18376;77;76;2428340;4;70.54
J70;23981;102;75;19155;78;78;2446810;4;72.23
J71;23748;101;75;19504;80;78;2395450;4;69.45
J72;23868;99;76;19818;80;79;2370110;4;72.51
J73;26024;105;79;21213;83;81;2744710;4;79.55
J74;24961;105;75;19648;79;79;2632680;4;75.28
J75;24459;102;76;19819;80;79;2503480;4;73.38
J76;22796;96;75;18903;78;77;2200680;4;69.54
J77;24607;102;76;20050;80;80;2522460;4;74.67
J78;23186;98;75;18959;78;77;2280830;4;69.81
J79;24157;104;74;18689;77;77;2507030;4;70.73
J80;23084;97;76;19141;78;78;2239370;4;70.5
J81;24806;103;77;20344;81;80;2541550;4;76.62
J82;24533;102;76;19935;80;80;2504880;4;74.78
J83;24153;102;75;19522;79;78;2466350;4;73.06
J84;23955;100;76;19766;80;79;2381820;4;74.07
J85;24438;103;76;19907;80;79;2509540;4;74.71
J86;23706;102;74;18770;78;77;2416490;4;70.37
J87;23328;98;75;19136;78;78;2293810;4;70.72
J88;24425;104;75;19297;79;78;2545720;4;73.4
J89;23278;99;75;19018;78;78;2289950;4;70.18
J90;23572;100;75;19085;78;78;2354990;4;70.88
J91;24358;103;75;19736;80;79;2501360;4;74.28
J92;23655;97;77;20183;81;80;2302880;4;72.52
J93;23605;101;74;18889;78;77;2384520;4;69.99
J94;23763;100;75;19190;79;77;2384000;4;72.02
J95;23772;100;75;19428;79;78;2386730;4;71.96
J96;23208;99;75;18987;78;78;2296660;4;69.64
J97;23527;100;75;18884;78;77;2347000;4;70.76
J98;25043;105;76;19471;79;79;2641170;4;75.72
J99;23319;99;75;19791;80;79;2313370;4;70.08
J100;24598;103;76;19410;79;78;2543630;4;74.58
